-442052.51647570083,-434074.6579058296,-424301.0449189612,-413148.2107683522,-412700.1600009749,-412241.79080040444,-412008.1588353661,-411902.70298474294,-411892.5942587044,-411893.98055306554,-411893.98055306554,-411895.36684742663
-399419.23595461337,-368341.44407032384,-319961.3173417703,-261455.22649094253,-260005.18310042153,-258117.61024580084,-255758.6973083994,-253075.856225859,-251021.98128068628,-249545.11988780048,-248805.23545274473,-248823.25727943933
-313980.5794533038,-251632.42090823385,-167220.75242564725,-61383.43487241813,-66082.64974682505,-68230.8880384153,-70580.20699394887,-72939.65733604795,-73696.07191253071,-73793.95925815597,-73866.04656493421,-73915.95316193452
-293109.85962969007,-228764.66313359494,-146157.77761135742,-48208.23899212376,-55124.32667124734,-59987.312401552335,-64126.65247535277,-68644.31602123538,-71400.26921114174,-71745.45650706059,-71915.97071347834,-71983.89913717323
-290709.34887506836,-223673.1500046383,-142821.70306029072,-57472.84420748798,-65435.58412925706,-71146.98200856746,-76235.93371973503,-81352.47642962144,-85954.97370853944,-86516.422924793,-86689.70971993299,-86704.95895790531
-285893.1176864945,-219506.46067530758,-142204.0258492632,-66279.83739517911,-75735.61634387431,-82640.61366810894,-88504.5039271425,-93443.73584730913,-97843.8341495036,-98882.16862598239,-99112.29348992831,-99160.81379256751
-278938.1177498601,-214540.8158074072,-140909.64203165317,-75106.37359242943,-85199.84794723983,-92895.03305731274,-98969.64005923657,-103799.35472487469,-107888.92309017837,-109196.19867271442,-109460.9808956883,-109516.43267013309
-273194.92720613035,-211601.7473234947,-143470.61980028532,-83316.00879898142,-93295.80701617994,-100396.13695682894,-106418.19966153373,-110762.7113007799,-114177.15431221819,-115706.23699253345,-115893.38673128464,-115910.02226361808
-268533.81134869996,-208206.76029260294,-144040.42096805605,-90301.41119616097,-99503.49827677128,-106321.15905625535,-111591.85021723314,-115166.96848605781,-117954.8064462699,-119486.66171530736,-119748.67134955902,-119791.64647475374
-262728.4925869284,-203192.18361948256,-143776.21248444705,-95901.77063807826,-104622.94846388348,-111153.6463106157,-115483.0436003931,-118688.15616330234,-120945.0433832055,-122188.54942513006,-122561.4626082713,-122632.16362068843
-260913.7778861234,-201053.02280539318,-145286.5071787837,-100737.1653696644,-109225.44574280154,-114782.96494802758,-118708.95057871914,-121559.17178518162,-123294.81232530372,-124159.86000664253,-124374.73563261611,-124484.25288714457
