-8218.858772413105,-8211.965421210352,-8211.720533429663,-8211.05740416623,-8210.715550598916,-8210.015103615708,-8209.276379944402,-8208.65473519555,-8207.573529910125,-8206.523632431667,-8205.726505262293,-8205.299136682357
-8162.53475635705,-8072.844286894286,-8121.716484623492,-8118.778598192783,-8102.82553213098,-8083.815590598389,-8064.563719456679,-8046.660443636874,-8036.678938653964,-8033.289874117748,-8031.213683574294,-8030.610907392486
-8084.149644682403,-7578.208055830983,-7695.9029559793125,-7641.883704446481,-7564.09947992176,-7479.346436374062,-7391.104487747882,-7307.116415358463,-7224.347999926761,-7180.8430463642035,-7170.188296554744,-7167.623890116766
-7979.127194823411,-6776.458469631145,-6933.065231905401,-6791.108830144727,-6627.428760507542,-6450.568117033584,-6274.393325236153,-6100.070252910563,-5937.199952460057,-5794.627201287662,-5712.546435329454,-5673.762363681565
-7801.092268512528,-5742.837975410364,-5921.052864997762,-5683.177372524266,-5423.742397756722,-5174.8069459250455,-4942.74134680492,-4720.872215322687,-4535.065318639682,-4348.23051375003,-4208.343083811357,-4102.018084155209
-7489.627502300975,-4446.82369578259,-4638.473166451021,-4319.909067732821,-4029.0798026428192,-3799.945118330123,-3619.43376256858,-3478.009853149597,-3364.9997558732134,-3248.824456429277,-3145.119988353405,-3047.1161008029403
-6704.504184595996,-2652.037133036146,-2927.861323280619,-2720.9889114512653,-2631.8644798412934,-2604.1244163191086,-2589.9133626858325,-2567.326506254834,-2541.872382267998,-2504.639845250992,-2483.0740523984414,-2454.5622471301904
-5211.458629513109,-581.5234381426055,-1376.4322080625468,-1566.168921728883,-1721.9910603677768,-1839.645128283653,-1929.4321767293018,-1992.862652185684,-2030.5405142588781,-2044.3837799720145,-2047.6554346642583,-2049.4548447449915
-5089.847108924735,-731.939148912837,-1508.536124249064,-1705.2519832832909,-1860.0740267244787,-1977.320524098184,-2060.4117707796227,-2115.6298384407296,-2147.1999573358385,-2157.494309484509,-2160.1643124240254,-2161.129173299365
-4988.436952439512,-873.3869588703077,-1627.766910998219,-1823.6565385932222,-1972.1545769359855,-2083.320787241819,-2157.268306094321,-2200.4893823542957,-2222.627963747367,-2230.6351999771964,-2232.6675075105973,-2233.188754190379
-4919.844898392862,-1005.042255237835,-1733.2686477258662,-1923.5122055743566,-2062.3291734300838,-2162.294395075074,-2223.9149844684985,-2257.5850321343733,-2273.6740947125227,-2279.454942198393,-2281.18503756107,-2281.9835431130755
